PUSHERS,PULLERS,THROUGHPUT
1,1,299721.8907010391
1,4,255470.77786332602
1,8,242821.49066900078
1,12,206384.47093934612
1,16,198742.14632347407
4,1,282498.1939197453
4,4,253199.8693482367
4,8,246414.16295266803
4,12,234034.91740819695
4,16,227057.10830914995
8,1,278952.1137617217
8,4,252215.68098562115
8,8,239661.12903372763
8,12,222293.03521558718
8,16,230548.2765920305
12,1,270372.2674274417
12,4,258027.91864018107
12,8,240955.59368492235
12,12,228173.40022447423
12,16,225581.28780637388
16,1,286782.7013498404
16,4,245007.83671048481
16,8,243957.44819954
16,12,228736.8124856099
16,16,225644.7276899033
